지역,대학명,전형명,학과명,2026등급컷I,2026등급컷II,2026등급컷III,2025등급컷,2025등급컷2,25년합격cutI기준,25년합격CUTII기준,,26년합격cut I기준,26년합격cut II 기준,26년합격cut III기준,,
경기,가천대학교,논술전형 ,"반도체대학(전자공학과,반도체공학과)",4.46,4.64,5.76,5.42,4.93,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,반도체물리학과,4.61,6.07,6.17,5.73,5.47,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,방사선학과,4.56,4.85,5.5,4.99,4.62,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,"법과대학(법학과,경찰행정학과,행정학과)",3.82,4.63,6.49,5.66,4.67,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,사회복지학과,4.37,4.82,6.34,5.98,5,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,생명과학과,4.37,4.82,6.34,5.15,4.36,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,스마트보안학과,,,,6.08,5.22,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,스마트시티학과,3.82,4.18,4.86,6.31,5.64,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,스마트팩토리학과,4.48,4.8,5.3,5.69,4.95,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,시스템반도체학과,4.36,4.76,6.11,7.04,5.7,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
경기,가천대학교,논술전형 ,식품생명공학과,3.92,4.43,5.26,5.45,4.34,최종등록자90%컷,최종등록자70%컷,,최종등록자50%컷,최종등록자70%컷,최종등록자90%컷,,
